position			Title			Directors			IMDb_Rating			Year			actor/actress1			actor/actress2			actor/actress3			actor/actress4			box_office			budget
213			The_People_vs._Larry_Flynt			Milos_Forman			7.3			1996			Woody_Harrelson			Courtney_Love			Edward_Norton			Brett_Harrelson			20191312			36000000
214			Superbad			Greg_Mottola			7.6			2007			Michael_Cera			Jonah_Hill			Christopher_Mintz-Plasse			Bill_Hader			169871719			20000000
215			Serenity			Joss_Whedon			8			2005			Nathan_Fillion			Gina_Torres			Chiwetel_Ejiofor			Alan_Tudyk			38869464			40000000
217			Austin_Powers:_International_Man_of_Mystery			Jay_Roach			7			1997			Mike_Myers			Elizabeth_Hurley			Michael_York			Mimi_Rogers			67683989			17000000
218			28_Weeks_Later			Juan_Carlos_Fresnadillo			7			2007			Jeremy_Renner			Rose_Byrne			Robert_Carlyle			Harold_Perrineau			64238440			15000000
220			Dog_Soldiers			Neil_Marshall			6.9			2002			Sean_Pertwee			Kevin_McKidd			Emma_Cleasby			Liam_Cunningham			2921560			2000000
222			Get_Shorty			Barry_Sonnenfeld			6.9			1995			Gene_Hackman			Rene_Russo			Danny_DeVito			John_Travolta			115101622			30250000
223			Bad_Santa			Terry_Zwigoff			7.1			2003			Billy_Bob_Thornton			Bernie_Mac			Lauren_Graham			John_Ritter			76488889			18000000
225			Donnie_Brasco			Mike_Newell			7.8			1997			Al_Pacino			Johnny_Depp			Michael_Madsen			Bruno_Kirby			124909762			35000000
228			(500)_Days_of_Summer			Marc_Webb			7.8			2009			Zooey_Deschanel			Joseph_Gordon-Levitt			Geoffrey_Arend			Chlo?_Grace_Moretz			60722734			7500000
229			Chopper			Andrew_Dominik			7.2			2000			Eric_Bana			Simon_Lyndon			David_Field			Dan_Wyllie			244259			3634000
231			Grosse_Pointe_Blank			George_Armitage			7.4			1997			John_Cusack			Minnie_Driver			Dan_Aykroyd			Joan_Cusack			28014536			15000000
235			Vals_Im_Bashir			Ari_Folman			8			2008			Ari_Folman			Ron_Ben-Yishai			Ronny_Dayag			Ori_Sivan			11125849			1500000
236			Shame			Steve_McQueen			7.3			2011			Michael_Fassbender			Carey_Mulligan			James_Badge_Dale			Lucy_Walters			4100304			6500000
237			Kill_Bill:_Vol._2			Quentin_Tarantino			8			2004			Uma_Thurman			David_Carradine			Michael_Madsen			Daryl_Hannah			152159461			30000000
238			Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl			Gore_Verbinski			8.1			2003			Johnny_Depp			Geoffrey_Rush			Orlando_Bloom			Keira_Knightley			654264015			140000000
239			Bottle_Rocket			Wes_Anderson			7.1			1996			Luke_Wilson			Owen_Wilson			Ned_Dowd			Shea_Fowler			560069			7000000
241			Jackass:_The_Movie			Jeff_Tremaine			6.6			2002			Johnny_Knoxville			Bam_Margera			Chris_Pontius			Steve-O			79493831			5000000
242			The_Squid_and_the_Whale			Noah_Baumbach			7.4			2005			Owen_Kline			Jeff_Daniels			Laura_Linney			Jesse_Eisenberg			11098131			1500000
247			South_Park:_Bigger_Longer_&_Uncut			Trey_Parker			7.8			1999			Trey_Parker			Matt_Stone			Mary_Kay_Bergman			Isaac_Hayes			83137603			21000000
